old_url,new_slug,hero_image,published_at,author
https://heartland.io/sustainability-news/2-ways-automotive-manufacturers-are-decarbonizing-their-plastic-portfolio-by-2030/,2-ways-automotive-manufacturers-are-decarbonizing-their-plastic-portfolio-by-2030,hero.svg,2030-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/2022-the-year-of-sustainability-and-esg-mandates/,2022-the-year-of-sustainability-and-esg-mandates,hero.svg,2022-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/3-important-questions-to-ask-your-resin-supplier-about-sustainability/,3-important-questions-to-ask-your-resin-supplier-about-sustainability,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/3-reasons-talc-fillers-will-go-extinct-over-the-next-decade/,3-reasons-talc-fillers-will-go-extinct-over-the-next-decade,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/52-of-us-soybean-bought-by-china-in-2024-now-is-not-the-time-to-plant-soybean/,52-of-us-soybean-bought-by-china-in-2024-now-is-not-the-time-to-plant-soybean,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/additives-the-move-towards-sustainable-bio-based-materials/,additives-the-move-towards-sustainable-bio-based-materials,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/addressing-phyto-sanitation-risks-importing-and-exporting-wood-pallets/,addressing-phyto-sanitation-risks-importing-and-exporting-wood-pallets,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/alfalfa-to-hemp-farming-in-arizona-asu-water-conservation/,alfalfa-to-hemp-farming-in-arizona-asu-water-conservation,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/alternative-to-talc-and-calcium-carbonate-in-plastic/,alternative-to-talc-and-calcium-carbonate-in-plastic,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/american-manufacturers/,american-manufacturers,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/an-open-letter-in-support-of-high-integrity-carbon-markets/,an-open-letter-in-support-of-high-integrity-carbon-markets,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/arizona-alfalfa-farming-export-to-china-hits-a-brick-wall/,arizona-alfalfa-farming-export-to-china-hits-a-brick-wall,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/basf-regenerative-farming-program-cuts-emissions-by-90/,basf-regenerative-farming-program-cuts-emissions-by-90,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/bio-based-materials-plastic-global-shortage/,bio-based-materials-plastic-global-shortage,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/bio-continuity-the-secret-to-reliable-bio-based-supply-chains/,bio-continuity-the-secret-to-reliable-bio-based-supply-chains,hero.svg,2022-08-18,"Tim Almond"
https://heartland.io/sustainability-news/building-a-carbon-negative-future-sustainable-packaging/,building-a-carbon-negative-future-sustainable-packaging,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/carbon-credits-for-the-global-industrial-hemp-value-chain/,carbon-credits-for-the-global-industrial-hemp-value-chain,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/carbon-credits-for-the-industrial-hemp-value-chain-updated-2022/,carbon-credits-for-the-industrial-hemp-value-chain-updated-2022,hero.svg,2022-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/carbon-emissions-how-they-affect-the-environment-how-they-affect-your-business/,carbon-emissions-how-they-affect-the-environment-how-they-affect-your-business,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/carbon-farming-its-not-about-carbon-footprint-its-about-better-food-and-water/,carbon-farming-its-not-about-carbon-footprint-its-about-better-food-and-water,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/cbd-catastrophe/,cbd-catastrophe,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/cellulose-the-organic-polymer-shaping-our-planet/,cellulose-the-organic-polymer-shaping-our-planet,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/challenging-fast-fashion-as-prices-shift-upward-for-clothing/,challenging-fast-fashion-as-prices-shift-upward-for-clothing,hero.svg,2024-06-01,"Heartland Industries"
